,Q1A,Q1B,Q1C,Q1D,Q1E,Q3,Q5B,Q6,Q7,Q11A,Q12,Q13A,Q13B,Q13C,Q14A,Q14B,Q14C,Q14D,Q14E,Q16,Q17,Q21A,Q21D,Q24A,Q27C,Q30,Q34,Q35,Q41B
1,2,2,2,1,-1,1,2,-1,0,0,0,1,1,1,-1,1,1,1,1,1,-1,0,0,2,1,0,1,0.5,-1
2,2,2,-1,-1,2,1,-2,1,1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,0,0,-2,-2,0,0,1,0
3,-2,-2,-1,-2,-2,1,1,-1,0,0,1,1,-1,-1,-1,1,1,1,1,1,-1,0,0,1,-2,1,0,4,-1
4,1,-1,2,1,1,1,1,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,3,1
5,2,2,1,1,2,1,2,-1,0,0,-1,1,1,0,1,1,1,1,1,1,1,0,0,2,1,0,1,1,-1
6,-1,1,2,2,-2,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,2,1,-1,0,0.5,1
7,2,2,2,1,-1,1,1,-1,0,0,-1,1,1,-1,-1,1,1,1,-1,1,-1,0,0,1,-1,-1,1,0.5,0
8,1,2,2,2,1,1,1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,-1,2,0,1,1,0
9,1,2,2,1,1,1,2,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,0,0,2,2,0,1,0.5,-1
10,2,2,2,2,1,1,2,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,-1,2,0,1,1,-1
11,-2,2,1,1,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,-1,0,1,0.5,1
12,2,-1,2,2,2,1,2,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,0,-1,0.5,-1
13,1,-1,2,2,-1,-1,2,1,2,0,1,1,0,-1,1,1,1,1,1,1,-1,0,0,-1,1,0,-1,0.5,-1
14,-1,1,2,2,1,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-2,0,1,2,-1
15,2,1,2,2,1,1,2,1,2,0,1,1,1,-1,1,1,1,-1,1,-1,1,0,0,-1,-1,0,-1,0.5,-1
16,-2,2,2,2,2,1,2,1,1,1,1,-1,-1,-1,1,1,0,-1,1,1,-1,-1,-1,-2,0,0,-1,0.5,-1
17,0,0,-2,-2,-2,1,0,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,2,-1,0,2,0
18,1,1,2,2,1,-1,1,1,2,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,0,0,1,2,-1,1,2,0
