"","Q13C","Q18AA","Q18AB","Q20","Q21","Q22","Q23A","Q23B","Q23C","Q23D","Q24","Q25","Q26","Q27","Q29","Q29A","Education","AgeCat","PoliticalPartyAffiliation","Income","PoliticsGeneral","Married"
"1","Yes, the law does this","Somewhat important","Very important","Oppose","The government (or)","Very important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","65+","Democrat","Less than $20,000","Conservative","Widowed"
"2",NA,"Somewhat important","Somewhat important","Oppose","The woman herself (or)","Somewhat important","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Now oppose","High school graduate (Grade 12 with diploma or GED certificate)","55-64","Undesignated","$20,000 to less than $30,000","Moderate","Married"
"3",NA,"Very important","Somewhat important","Support","The government (or)","Somewhat important","No, Planned Parenthood does not provide","Yes, Planned Parenthood does provide","No, Planned Parenthood does not provide","No, Planned Parenthood does not provide","(DO NOT READ) Don't know","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Post-graduate or professional degree, including master's, doctorate, medical, or law degree (e.g., MA, MS, PhD, MD, JD)","65+","Democrat","(DO NOT READ) Don't know/Refused","Moderate","Widowed"
"4","(DO NOT READ) Don't know","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","35-44","Democrat","$100,000 or more","Liberal","Married"
"5","No, law does not do this","Not at all important","Very important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","65+","Democrat","$20,000 to less than $30,000","Moderate","Widowed"
"6","(DO NOT READ) Don't know","Very important","Very important","Support","The insurance company (or)","Very important","Skipped","(DO NOT READ) Never heard of Planned Parenthood","Skipped","Skipped","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Now want to keep payments to Planned Parenthood for non-abortion services",NA,"(DO NOT READ) Don't know",NA,"Two year associate degree from a college or university","65+","Democrat","$75,000 to less than $90,000","Liberal","Married"
"7","Yes, the law does this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","35-44","Democrat","$100,000 or more","Liberal","Married"
"8","Yes, the law does this","Somewhat important","Very important","Support","The insurance company (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some college, no degree (includes some community college)","65+","Republican","$50,000 to less than $75,000","Conservative","Married"
"9",NA,"Somewhat important","Somewhat important","Oppose","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","45-54","Indep lean Rep","(DO NOT READ) Don't know/Refused","Conservative","Married"
"10",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)","25-34","Democrat","$90,000 to less than $100,000","Liberal","Married"
"11",NA,"Very important","Somewhat important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Two year associate degree from a college or university","65+","Democrat","$20,000 to less than $30,000","Moderate","Married"
"12","Yes, the law does this","Somewhat important","Very important","Support","The woman herself (or)","Somewhat important","Yes, Planned Parenthood does provide","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","(DO NOT READ) Don't know","Stop all federal payments to Planned Parenthood","Still want to stop all payments",NA,"Support","Still support","Two year associate degree from a college or university","65+","Indep lean Rep","$30,000 to less than $40,000","Conservative","Married"
"13",NA,"Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, there is a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","Some postgraduate or professional school, no postgraduate degree","45-54","Indep/Don't lean","(DO NOT READ) Don't know/Refused","Conservative","Married"
"14","Yes, the law does this","Somewhat important","Somewhat important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","Continue paying Planned Parenthood for non-abortion services provided to people on Medicaid",NA,"Still keep paying Planned Parenthood for non-abortion services in place","Support","Still support","High school incomplete (Grades 9-11 or Grade 12 with no diploma)","55-64","Democrat","$20,000 to less than $30,000","Moderate","Widowed"
"15","No, law does not do this","Very important","Very important","Support","The insurance company (or)","Very important","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","Yes, Planned Parenthood does provide","No, there is not a ban on federal Medicaid funds being used to pay for abortions","(DO NOT READ) Refused",NA,NA,"Support","Still support","Some college, no degree (includes some community college)","55-64","Democrat","$50,000 to less than $75,000","Conservative","Married"
