,Q13C,Q18AA,Q18AB,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q24,Q25,Q26,Q27,Q29,Q29A,Education,AgeCat,PoliticalPartyAffiliation,Income,PoliticsGeneral,10
1,10,8,10,-10,10,10,-10,10,10,-10,-10,10,0,10,10,10,10,70,10,20,-10,5
2,0,8,8,-10,-10,8,-10,-10,10,10,10,10,0,10,10,-10,12,59.5,0,25,0,10
3,0,10,8,10,10,8,-10,10,-10,-10,0,10,0,10,10,10,20,70,10,0,0,5
4,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,16,39.5,10,120,10,10
5,-10,-10,10,-10,-10,8,10,10,10,10,-10,10,0,10,10,10,13,70,10,25,0,5
6,0,10,10,10,8,10,0,0,0,0,0,-10,10,0,0,0,14,70,10,82.5,10,10
7,10,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,16,39.5,10,120,10,10
8,10,8,10,10,8,8,10,10,10,10,-10,10,0,10,10,10,13,70,-10,62.5,-10,10
9,0,8,8,-10,-10,8,10,10,0,10,-10,10,0,10,10,10,16,49.5,-8,0,-10,10
10,0,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,16,29.5,10,95,10,10
11,0,10,8,10,-10,8,10,10,10,10,-10,10,0,10,10,10,14,70,10,25,0,10
12,10,8,10,10,-10,8,10,0,0,0,0,-10,-10,0,10,10,14,70,-8,35,-10,10
13,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,18,49.5,0,0,-10,10
14,10,8,8,10,8,10,10,10,10,10,-10,10,0,10,10,10,10,59.5,10,25,0,5
15,-10,10,10,10,8,10,10,10,10,10,-10,0,0,0,10,10,13,59.5,10,62.5,-10,10
16,-10,10,8,10,-10,10,0,0,10,0,0,10,0,-10,10,10,20,49.5,-8,45,-10,10
17,10,10,10,10,10,10,10,10,10,10,-10,10,0,10,10,10,20,49.5,10,45,10,10
18,-10,10,10,10,10,10,10,10,10,10,-10,10,0,10,10,10,20,70,10,62.5,10,10
19,0,-10,10,10,-10,10,10,10,0,10,0,10,0,10,10,10,16,49.5,0,20,10,0
20,0,0,10,10,-10,-8,10,10,-10,10,10,10,0,10,10,10,20,70,-10,45,0,-10
21,10,-8,10,-10,-10,8,0,10,0,10,0,10,0,10,10,10,10,70,0,20,0,-10
22,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,16,49.5,10,95,10,10
23,0,8,10,10,8,10,10,10,10,10,10,10,0,10,10,10,16,70,8,120,10,10
24,0,10,10,10,-10,10,10,10,10,10,10,10,0,10,10,-10,13,49.5,-8,20,10,8
25,0,-10,10,0,-10,8,10,-10,-10,10,10,-10,-10,0,-10,0,13,59.5,-10,120,-10,10
26,0,10,10,10,-10,10,10,10,10,10,0,10,0,10,10,10,16,70,10,0,10,5
27,0,8,10,-10,-10,8,-10,0,0,10,0,10,0,-10,10,10,12,49.5,10,120,0,10
28,10,10,10,10,10,10,-10,10,-10,10,10,10,0,-10,10,-10,13,70,-10,20,10,5
29,10,8,10,-10,-10,8,10,-10,-10,10,-10,-10,10,0,10,10,14,70,-10,0,-10,10
30,0,-8,8,-10,-10,-8,10,10,10,10,0,10,0,-10,10,-10,20,70,-8,62.5,0,10
31,0,10,10,10,8,10,0,0,0,0,0,10,0,10,-10,0,12,70,0,0,-10,5
32,0,-8,10,-10,0,8,10,0,10,10,10,-10,10,0,10,10,16,70,-10,120,-10,5
33,0,-8,10,-10,-10,-10,10,-10,-10,-10,-10,-10,-10,0,10,10,16,49.5,-10,62.5,-10,10
34,10,10,10,10,8,10,10,10,10,10,0,10,0,10,10,0,12,70,10,0,0,10
35,0,10,10,10,8,10,10,10,10,-10,0,10,0,10,10,10,16,49.5,10,62.5,-10,10
36,0,-10,8,-10,-10,-10,10,10,10,10,10,-10,-10,0,-10,0,16,59.5,-8,120,-10,10
37,0,10,10,10,8,10,10,10,10,10,10,10,0,0,10,-10,16,70,8,62.5,-10,10
38,10,10,10,10,8,10,10,10,10,10,0,10,0,10,10,0,20,70,10,0,10,5
39,0,10,10,10,0,8,-10,10,-10,10,0,-10,10,0,10,0,16,39.5,8,62.5,0,10
40,0,-10,10,-10,-10,8,-10,10,-10,10,-10,10,0,-10,-10,0,16,49.5,0,120,0,5
41,10,10,10,10,8,8,10,10,-10,10,10,10,0,10,10,-10,13,49.5,10,62.5,10,10
42,0,10,10,10,8,10,-10,10,10,10,-10,10,0,10,10,10,12,70,10,25,-10,10
43,10,10,0,10,8,10,10,0,0,10,10,10,0,-10,10,-10,12,70,-10,20,-10,5
44,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,20,70,10,62.5,10,10
45,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,20,59.5,10,120,10,10
46,-10,10,10,10,8,10,10,-10,-10,10,-10,-10,-10,0,10,10,13,70,-10,95,-10,10
47,0,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,12,70,10,20,0,-8
48,0,-8,10,-10,-10,-10,10,10,10,10,10,-10,-10,0,10,10,18,49.5,-10,120,-10,10
49,0,10,10,10,10,10,10,10,10,10,-10,10,0,10,10,10,20,49.5,-10,25,10,0
50,0,8,10,-10,10,10,0,0,0,10,10,-10,-10,0,10,-10,16,70,8,45,10,10
51,10,10,10,10,-10,-8,-10,-10,-10,10,10,10,0,-10,10,10,16,49.5,10,120,10,10
52,0,10,10,10,8,10,10,10,0,10,0,10,0,10,10,10,20,49.5,10,120,10,10
53,0,10,10,10,8,10,10,10,10,10,0,10,0,10,10,10,16,59.5,8,120,0,10
54,10,8,10,10,-10,8,10,10,10,10,10,10,0,10,10,-10,12,29.5,8,20,0,0
55,0,-10,10,-10,-10,-8,-10,10,10,10,-10,0,0,0,10,-10,20,49.5,-8,0,-10,10
56,0,8,10,10,-10,8,10,10,0,10,10,-10,-10,0,10,10,13,59.5,8,35,-10,-10
57,-10,8,10,10,8,10,10,10,10,10,10,10,0,10,10,10,20,70,8,120,10,5
58,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,14,70,8,62.5,0,0
59,0,10,10,10,8,10,10,0,10,10,0,10,0,10,10,10,16,70,10,120,10,10
60,-10,10,10,-10,8,10,10,-10,-10,10,-10,10,0,10,10,-10,12,49.5,10,62.5,-10,10
61,-10,-10,10,-10,8,10,-10,10,10,10,-10,10,0,10,-10,0,12,59.5,10,20,-10,-8
62,0,10,10,10,8,10,10,10,10,10,0,10,0,10,10,-10,13,70,10,25,0,5
